track,artist,played_at,user_id
back to friends,sombr,2025-07-16T06:12:30.240Z,31dtkpscjpmqgztb7y4s2f65lony
Back To Me,The Marías,2025-07-16T06:09:10.302Z,31dtkpscjpmqgztb7y4s2f65lony
Heavy,The Marías,2025-07-16T06:05:34.292Z,31dtkpscjpmqgztb7y4s2f65lony
ONE IN A MILLION,Rex Orange County,2025-07-16T05:57:30.300Z,31dtkpscjpmqgztb7y4s2f65lony
4 Seasons,Rex Orange County,2025-07-16T05:54:14.074Z,31dtkpscjpmqgztb7y4s2f65lony
Clean (Taylor's Version),Taylor Swift,2025-07-16T05:22:54.659Z,31dtkpscjpmqgztb7y4s2f65lony
Guilty as Sin?,Taylor Swift,2025-07-15T16:55:29.015Z,31dtkpscjpmqgztb7y4s2f65lony
Blank Space,Taylor Swift,2025-07-15T16:52:26.638Z,31dtkpscjpmqgztb7y4s2f65lony
dorothea,Taylor Swift,2025-07-15T16:44:31.379Z,31dtkpscjpmqgztb7y4s2f65lony
Call It What You Want,Taylor Swift,2025-07-15T16:43:54.355Z,31dtkpscjpmqgztb7y4s2f65lony
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,2025-07-15T16:36:43.140Z,31dtkpscjpmqgztb7y4s2f65lony
Baby Blue,Rocco,2025-07-15T16:22:49.329Z,31dtkpscjpmqgztb7y4s2f65lony
Jolene,Ray LaMontagne,2025-07-15T12:52:19.961Z,31dtkpscjpmqgztb7y4s2f65lony
Nothing Lasts Forever,Maroon 5,2025-07-15T04:58:21.510Z,31dtkpscjpmqgztb7y4s2f65lony
Trouble Sleeping,Corinne Bailey Rae,2025-07-15T04:53:21.562Z,31dtkpscjpmqgztb7y4s2f65lony
Slow Dancing in a Burning Room,John Mayer,2025-07-15T04:49:51.613Z,31dtkpscjpmqgztb7y4s2f65lony
Magnolia,Eric Clapton,2025-07-15T04:45:51.973Z,31dtkpscjpmqgztb7y4s2f65lony
Gravity,John Mayer,2025-07-15T04:41:51.722Z,31dtkpscjpmqgztb7y4s2f65lony
Sunday Morning,Maroon 5,2025-07-15T04:37:54.269Z,31dtkpscjpmqgztb7y4s2f65lony
Home,Michael Bublé,2025-07-15T04:33:51.795Z,31dtkpscjpmqgztb7y4s2f65lony
Bleeding out Loud,Stephen Day,2025-07-15T04:28:52.618Z,31dtkpscjpmqgztb7y4s2f65lony
Love on the Weekend,John Mayer,2025-07-15T04:26:24.024Z,31dtkpscjpmqgztb7y4s2f65lony
Stop This Train,John Mayer,2025-07-15T04:21:53.805Z,31dtkpscjpmqgztb7y4s2f65lony
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,2025-07-15T04:15:52.821Z,31dtkpscjpmqgztb7y4s2f65lony
Crying At The Airport,Ebony Loren,2025-07-14T17:29:11.108Z,31dtkpscjpmqgztb7y4s2f65lony
I Thought I Saw Your Face Today,She & Him,2025-07-14T17:25:49.072Z,31dtkpscjpmqgztb7y4s2f65lony
Sienna,The Marías,2025-07-14T17:22:58.463Z,31dtkpscjpmqgztb7y4s2f65lony
From The Start,Laufey,2025-07-14T15:26:50.221Z,31dtkpscjpmqgztb7y4s2f65lony
Heavy,The Marías,2025-07-14T15:23:59.438Z,31dtkpscjpmqgztb7y4s2f65lony
Sleep Well,d4vd,2025-07-14T15:19:45.665Z,31dtkpscjpmqgztb7y4s2f65lony
l-o-v-e,Rocco,2025-07-14T15:16:49.522Z,31dtkpscjpmqgztb7y4s2f65lony
Like It Was Meant To Be,Vira Talisa,2025-07-14T15:13:14.150Z,31dtkpscjpmqgztb7y4s2f65lony
I've Never Been In Love Before,Laufey,2025-07-14T15:09:44.360Z,31dtkpscjpmqgztb7y4s2f65lony
Tongue Tied,Ebony Loren,2025-07-14T15:06:01.243Z,31dtkpscjpmqgztb7y4s2f65lony
Love You Anyway,The Marías,2025-07-14T15:03:08.438Z,31dtkpscjpmqgztb7y4s2f65lony
do you think you could love me?,yung kai,2025-07-14T14:59:10.590Z,31dtkpscjpmqgztb7y4s2f65lony
Jupiter To Mars,Rocco,2025-07-14T14:55:13.689Z,31dtkpscjpmqgztb7y4s2f65lony
Second Best,Laufey,2025-07-14T14:52:17.051Z,31dtkpscjpmqgztb7y4s2f65lony
Floating Rock,EASHA,2025-07-14T14:48:51.868Z,31dtkpscjpmqgztb7y4s2f65lony
Love Is Long,Ebony Loren,2025-07-14T14:45:47.773Z,31dtkpscjpmqgztb7y4s2f65lony
Paranoia,The Marías,2025-07-14T14:42:27.181Z,31dtkpscjpmqgztb7y4s2f65lony
stars burn out,cykim,2025-07-14T14:38:35.071Z,31dtkpscjpmqgztb7y4s2f65lony
Someone New,Laufey,2025-07-14T14:34:58.459Z,31dtkpscjpmqgztb7y4s2f65lony
This Is How It Feels (with Laufey),d4vd,2025-07-14T14:31:39.969Z,31dtkpscjpmqgztb7y4s2f65lony
You Make Me Feel,EASHA,2025-07-14T14:26:55.741Z,31dtkpscjpmqgztb7y4s2f65lony
Meet You Again - Reimagined,Ebony Loren,2025-07-14T14:24:00.244Z,31dtkpscjpmqgztb7y4s2f65lony
No One Noticed (Extended English),The Marías,2025-07-14T14:20:41.601Z,31dtkpscjpmqgztb7y4s2f65lony
Fragile,Laufey,2025-07-14T14:15:56.652Z,31dtkpscjpmqgztb7y4s2f65lony
The Longest Goodbye (feat. Laufey),ROLE MODEL,2025-07-14T14:11:54.672Z,31dtkpscjpmqgztb7y4s2f65lony
Magnolia,Laufey,2025-07-14T14:09:03.366Z,31dtkpscjpmqgztb7y4s2f65lony
